
时间,下料开始,上料开始,CNC#
15416,202,210,2
15492,203,211,3
15545,204,212,4
15621,205,213,5
15674,206,214,6
15750,207,215,7
15803,208,216,8
15905,209,217,1
16007,210,218,2
16083,211,219,3
16136,212,220,4
16212,213,221,5
16265,214,222,6
16341,215,223,7
16394,216,224,8
16496,217,225,1
16598,218,226,2
16674,219,227,3
16727,220,228,4
16803,221,229,5
16856,222,230,6
16932,223,231,7
16985,224,232,8
17087,225,233,1
17189,226,234,2
17265,227,235,3
17318,228,236,4
17394,229,237,5
17447,230,238,6
17523,231,239,7
17576,232,240,8
17678,233,241,1
17780,234,242,2
17856,235,243,3
17909,236,244,4
17985,237,245,5
18038,238,246,6
18114,239,247,7
18167,240,248,8
18269,241,249,1
18371,242,250,2
18447,243,251,3
18500,244,252,4
18576,245,253,5
18629,246,254,6
18705,247,255,7
18758,248,256,8
18860,249,257,1
18962,250,258,2
19038,251,259,3
19091,252,260,4
19167,253,261,5
19220,254,262,6
19296,255,263,7
19349,256,264,8
19451,257,265,1
19553,258,266,2
19629,259,267,3
19682,260,268,4
19758,261,269,5
19811,262,270,6
19887,263,271,7
19940,264,272,8
20042,265,273,1
20144,266,274,2
20220,267,275,3
20273,268,276,4
20349,269,277,5
20402,270,278,6
20478,271,279,7
20531,272,280,8
20633,273,281,1
20735,274,282,2
20811,275,283,3
20864,276,284,4
20940,277,285,5
20993,278,286,6
21069,279,287,7
21122,280,288,8
21224,281,289,1
21326,282,290,2
21402,283,291,3
21455,284,292,4
21531,285,293,5
21584,286,294,6
21660,287,295,7
21713,288,296,8
21815,289,297,1
21917,290,298,2
21993,291,299,3
22046,292,300,4
22122,293,301,5
22175,294,302,6
22251,295,303,7
22304,296,304,8
22406,297,305,1
22508,298,306,2
22584,299,307,3
22637,300,308,4
22713,301,309,5
22766,302,310,6
22842,303,311,7
22895,304,312,8
22997,305,313,1
23099,306,314,2
23175,307,315,3
23228,308,316,4
23304,309,317,5
23357,310,318,6
23433,311,319,7
23486,312,320,8
23588,313,321,1
23690,314,322,2
23766,315,323,3
23819,316,324,4
23895,317,325,5
23948,318,326,6
24024,319,327,7
24077,320,328,8
24179,321,329,1
24281,322,330,2
24357,323,331,3
24410,324,332,4
24486,325,333,5
24539,326,334,6
24615,327,335,7
24668,328,336,8
24770,329,337,1
24872,330,338,2
24948,331,339,3
25001,332,340,4
25077,333,341,5
25130,334,342,6
25206,335,343,7
25259,336,344,8
25361,337,345,1
25463,338,346,2
25539,339,347,3
25592,340,348,4
25668,341,349,5
25721,342,350,6
25797,343,351,7
25850,344,352,8
25952,345,353,1
26054,346,354,2
26130,347,355,3
26183,348,356,4
26259,349,357,5
26312,350,358,6
26388,351,359,7
26441,352,360,8
26543,353,361,1
26645,354,362,2
26721,355,363,3
26774,356,364,4
26850,357,365,5
26903,358,366,6
26979,359,367,7
27032,360,368,8
27134,361,369,1
27236,362,370,2
27312,363,371,3
27365,364,372,4
27441,365,373,5
27494,366,374,6
27570,367,375,7
27623,368,376,8
27725,369,377,1
27827,370,378,2
27903,371,379,3
27956,372,380,4
28032,373,381,5
28085,374,382,6
28161,375,383,7
28214,376,384,8
28316,377,385,1
28418,378,386,2
28494,379,387,3
28547,380,388,4
28623,381,389,5
28676,382,390,6
28752,383,391,7


